# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A	N/A	N/A	N/A	N/A
2e-05           	1.00000000e+00	9.99999996e-01	1.00000000e+00	9.99999994e-01	1.00000000e+00	2.10992833e-04
4e-05           	4.21933861e-02	1.04606303e-02	3.61172044e-01	1.75351101e-01	2.17112824e-02	2.94088860e-04
6e-05           	1.68256321e-02	6.12193867e-03	2.15390104e-01	2.54754041e-02	1.21736119e-02	3.27431326e-04
8e-05           	1.09099810e-02	4.88454505e-03	1.50889113e-01	1.48855033e-02	8.86977303e-03	3.36329457e-04
0.0001          	8.44758919e-03	4.29780143e-03	1.20612352e-01	1.10288019e-02	7.23289239e-03	3.65083765e-04
0.00012         	7.16791521e-03	3.93704595e-03	9.93869740e-02	9.04212811e-03	6.27110688e-03	3.90621605e-04
0.00014         	6.34529086e-03	3.68759549e-03	8.49363998e-02	7.91824811e-03	5.63255207e-03	4.11843397e-04
0.00016         	5.85294982e-03	3.55891048e-03	7.43310089e-02	7.20093818e-03	5.18707892e-03	4.33480582e-04
0.00018         	5.50579956e-03	3.45207485e-03	6.61153357e-02	6.71567678e-03	4.83679871e-03	4.57884239e-04
0.0002          	5.26000548e-03	3.40287056e-03	5.98115586e-02	6.35721165e-03	4.58057591e-03	4.82290851e-04
0.00022         	5.08440911e-03	3.34244397e-03	5.46175081e-02	6.11968590e-03	4.36123863e-03	5.06211407e-04
0.00024         	4.94633462e-03	3.32249147e-03	5.02609198e-02	5.92217968e-03	4.18161406e-03	5.33349750e-04
0.00026         	4.83526821e-03	3.26881541e-03	4.67736805e-02	5.77104918e-03	4.03557501e-03	5.61222945e-04
0.00028         	4.77100727e-03	3.25897640e-03	4.35763033e-02	5.67245892e-03	3.90518687e-03	5.87011630e-04
0.0003          	4.70389696e-03	3.21163770e-03	4.09444686e-02	5.57167348e-03	3.78584651e-03	6.03445988e-04
0.00032         	4.65516775e-03	3.21410904e-03	3.85688781e-02	5.51520165e-03	3.68263789e-03	6.04786440e-04
0.00034         	4.61041296e-03	3.17435556e-03	3.65412990e-02	5.44118807e-03	3.59247149e-03	6.02611029e-04
0.00036         	4.58234166e-03	3.18299609e-03	3.47319208e-02	5.41886146e-03	3.51240972e-03	5.94084233e-04
0.00038         	4.54816538e-03	3.14764864e-03	3.31073764e-02	5.37501982e-03	3.43599130e-03	5.87065010e-04
0.0004          	4.52989905e-03	3.16136820e-03	3.16116889e-02	5.37184793e-03	3.36717606e-03	5.75979627e-04
0.00042         	4.50571720e-03	3.13109038e-03	3.03058639e-02	5.34027133e-03	3.30065321e-03	5.63462624e-04
0.00044         	4.48686267e-03	3.13439868e-03	2.90671439e-02	5.35129091e-03	3.23905300e-03	5.50716894e-04
0.00046         	4.46033963e-03	3.11989804e-03	2.79922079e-02	5.33101153e-03	3.18120574e-03	5.37664644e-04
